Controller Name:,New_Controller2095709328,,,,,,,,,,,,,,,
Trend Name:,testtrend,,,,,,,,,,,,,,,
Trend Tags:,5,,,,,,,,,,,,,,,
Sample Period:,10 ms,,,,,,,,,,,,,,,
Description:,,,,,,,,,,,,,,,,
Start Trigger:,No Trigger,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Stop Trigger:,No Trigger,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Start Time:,11/21/2023,16:21:22;659,,,,,,,,,,,,,,
Stop Time:,11/21/2023,16:23:47;139,,,,,,,,,,,,,,
Pre-Samples:,0,,,,,,,,,,,,,,,
Post-Samples:,0,,,,,,,,,,,,,,,
Header:,Date,Time,sinusoidal_wave,time,Measured_rpm_Filtered,Temperature,Diameter,Setpoint,,,,,,,,
Data,11/21/2023,16:21:24;409,154.537354,14440,161.408066,85.017761,0.154188,0.154188,,,,,,,,
Data,11/21/2023,16:21:24;419,154.124985,14450,161.209167,85.017761,0.154188,0.154188,,,,,,,,
Data,11/21/2023,16:21:24;429,153.71167,14460,160.9552,85.017761,0.154188,0.154188,,,,,,,,
Data,11/21/2023,16:21:24;439,153.297333,14472,160.705383,85.017761,0.154188,0.154188,,,,,,,,
Data,11/21/2023,16:21:24;449,152.798981,14480,160.45961,85.017761,0.154188,0.154188,,,,,,,,
Data,11/21/2023,16:21:24;459,152.466064,14490,160.225143,85.017761,0.154188,0.154188,,,,,,,,
Data,11/21/2023,16:21:24;469,152.049042,14500,159.994385,85.017761,0.154188,0.154188,,,,,,,,
Data,11/21/2023,16:21:24;479,151.631195,14510,159.767303,85.013275,0.157564,0.157564,,,,,,,,
Data,11/21/2023,16:21:24;489,151.212433,14520,159.536896,85.013275,0.157564,0.157564,,,,,,,,
Data,11/21/2023,16:21:24;499,150.792908,14531,159.322159,85.013275,0.157564,0.157564,,,,,,,,
Data,11/21/2023,16:21:24;509,150.33046,14541,159.138687,85.013275,0.157564,0.157564,,,,,,,,
