Date,Time,Pos,Speed,Speed_filt,Lux,Range,Diameter
11/21/2023,16:35:08;448,-242,-0.60,-0.48,23.49,25,6.0
11/21/2023,16:35:09;448,-244,-0.60,-0.54,24.51,27,2.0
11/21/2023,16:35:10;448,-246,-0.60,-0.57,24.64,18,20.0
11/21/2023,16:35:11;447,-247,-0.30,-0.44,24.00,14,28.0
11/21/2023,16:35:12;450,-249,-0.60,-0.52,23.94,26,4.0
11/21/2023,16:35:13;450,-250,-0.30,-0.41,23.10,25,6.0
11/21/2023,16:35:14;449,-252,-0.60,-0.50,22.59,24,8.0
11/21/2023,16:35:15;452,-253,-0.30,-0.40,22.91,18,20.0
11/21/2023,16:35:16;452,-255,-0.60,-0.50,23.30,21,14.0
11/21/2023,16:35:17;452,-257,-0.60,-0.55,23.87,23,10.0
11/21/2023,16:35:18;450,-258,-0.30,-0.43,24.38,26,4.0
11/21/2023,16:35:19;454,-260,-0.60,-0.51,25.15,25,6.0
11/21/2023,16:35:20;453,-261,-0.30,-0.41,24.45,19,18.0
11/21/2023,16:35:21;453,-263,-0.60,-0.50,23.74,18,20.0
11/21/2023,16:35:22;452,-265,-0.60,-0.55,23.36,27,2.0
11/21/2023,16:35:23;456,-266,-0.30,-0.43,22.59,25,6.0
