Controller Name:,New_Controller2095709328,,,,,,,,,,,,,
Trend Name:,testtrend,,,,,,,,,,,,,
Trend Tags:,5,,,,,,,,,,,,,
Sample Period:,10 ms,,,,,,,,,,,,,
Description:,,,,,,,,,,,,,,
Start Trigger:,No Trigger,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Stop Trigger:,No Trigger,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Start Time:,11/21/2023,16:01:29;739,,,,,,,,,,,,
Stop Time:,11/21/2023,16:07:33;819,,,,,,,,,,,,
Pre-Samples:,0,,,,,,,,,,,,,
Post-Samples:,0,,,,,,,,,,,,,
Header:,Date,Time,sinusoidal_wave,time,Measured_rpm_Filtered,Temperature,Diameter,Setpoint,,,,,,
Data,11/21/2023,16:01:31;559,100,0,99.119537,84.271667,0.251817,0.251817,,,,,,
Data,11/21/2023,16:01:31;569,100,0,99.086395,84.271667,0.251817,0.251817,,,,,,
Data,11/21/2023,16:01:31;579,100,0,99.054787,84.271667,0.251817,0.251817,,,,,,
Data,11/21/2023,16:01:31;589,100,0,99.02272,84.271667,0.251817,0.251817,,,,,,
Data,11/21/2023,16:01:31;599,100,0,98.992126,84.276642,0.249013,0.249013,,,,,,
Data,11/21/2023,16:01:31;609,100,0,98.961082,84.276642,0.249013,0.249013,,,,,,
Data,11/21/2023,16:01:31;619,100,0,98.931458,84.276642,0.249013,0.249013,,,,,,
Data,11/21/2023,16:01:31;629,100,0,98.901405,84.276642,0.249013,0.249013,,,,,,
Data,11/21/2023,16:01:31;639,100,0,98.906448,84.276642,0.249013,0.249013,,,,,,
Data,11/21/2023,16:01:31;649,100,0,98.924004,84.276642,0.249013,0.249013,,,,,,
Data,11/21/2023,16:01:31;659,100,0,98.940758,84.276642,0.249013,0.249013,,,,,,
Data,11/21/2023,16:01:31;669,100,0,98.957756,84.276642,0.249013,0.249013,,,,,,
Data,11/21/2023,16:01:31;679,100,0,98.973976,84.276642,0.249013,0.249013,,,,,,
Data,11/21/2023,16:01:31;689,100,0,98.990433,84.276642,0.249013,0.249013,,,,,,
Data,11/21/2023,16:01:31;699,100,0,99.006134,84.277405,0.247723,0.247723,,,,,,
Data,11/21/2023,16:01:31;709,100,0,99.022064,84.277405,0.247723,0.247723,,,,,,
Data,11/21/2023,16:01:31;719,100,0,98.950821,84.277405,0.247723,0.247723,,,,,,
Data,11/21/2023,16:01:31;729,100,0,98.846519,84.277405,0.247723,0.247723,,,,,,
Data,11/21/2023,16:01:31;739,100,0,98.747009,84.277405,0.247723,0.247723,,,,,,
Data,11/21/2023,16:01:31;749,100,0,98.646049,84.277405,0.247723,0.247723,,,,,,
Data,11/21/2023,16:01:31;759,100,0,98.549728,84.277405,0.247723,0.247723,,,,,,
Data,11/21/2023,16:01:31;769,100,0,98.451996,84.277405,0.247723,0.247723,,,,,,
Data,11/21/2023,16:01:31;779,100,0,98.358742,84.277405,0.247723,0.247723,,,,,,
Data,11/21/2023,16:01:31;789,100,0,98.26413,84.277405,0.247723,0.247723,,,,,,
Data,11/21/2023,16:01:31;799,100,0,98.569138,84.288208,0.245519,0.245519,,,,,,
Data,11/21/2023,16:01:31;809,100,0,99.024803,84.288208,0.245519,0.245519,,,,,,
Data,11/21/2023,16:01:31;819,100,0,99.459549,84.288208,0.245519,0.245519,,,,,,
Data,11/21/2023,16:01:31;829,100,0,99.900658,84.288208,0.245519,0.245519,,,,,,
Data,11/21/2023,16:01:31;839,100,0,100.321495,84.288208,0.245519,0.245519,,,,,,
Data,11/21/2023,16:01:31;849,100,0,100.748497,84.288208,0.245519,0.245519,,,,,,
Data,11/21/2023,16:01:31;859,100,0,101.155891,84.288208,0.245519,0.245519,,,,,,
Data,11/21/2023,16:01:31;869,100,0,101.569229,84.288208,0.245519,0.245519,,,,,,
Data,11/21/2023,16:01:31;879,100,0,101.633919,84.288208,0.245519,0.245519,,,,,,
Data,11/21/2023,16:01:31;889,100,0,101.577629,84.288208,0.245519,0.245519,,,,,,
Data,11/21/2023,16:01:31;899,100,0,101.523918,84.27948,0.243111,0.243111,,,,,,
Data,11/21/2023,16:01:31;909,100,0,101.469421,84.27948,0.243111,0.243111,,,,,,
Data,11/21/2023,16:01:31;919,100,0,101.417427,84.27948,0.243111,0.243111,,,,,,
Data,11/21/2023,16:01:31;929,100,0,101.364677,84.27948,0.243111,0.243111,,,,,,
Data,11/21/2023,16:01:31;939,100,0,101.314339,84.27948,0.243111,0.243111,,,,,,
Data,11/21/2023,16:01:31;949,100,0,101.263275,84.27948,0.243111,0.243111,,,,,,
Data,11/21/2023,16:01:31;959,100,0,101.181747,84.27948,0.243111,0.243111,,,,,,
Data,11/21/2023,16:01:31;969,100,0,101.086891,84.27948,0.243111,0.243111,,,,,,
Data,11/21/2023,16:01:31;979,100,0,100.996391,84.27948,0.243111,0.243111,,,,,,
Data,11/21/2023,16:01:31;989,100,0,100.904564,84.27948,0.243111,0.243111,,,,,,
Data,11/21/2023,16:01:31;999,100,0,100.814247,84.283539,0.241105,0.241105,,,,,,
