Date,Time,Pos,Speed,Speed_filt,Lux,Range,Diameter
11/21/2023,16:06:29;563,-511,-0.6,-0.51,23.94,21,14
11/21/2023,16:06:30;567,-512,-0.3,-0.41,23.36,19,18
11/21/2023,16:06:31;566,-514,-0.6,-0.5,23.04,19,18
11/21/2023,16:06:32;565,-515,-0.3,-0.4,23.23,19,18
11/21/2023,16:06:33;565,-517,-0.6,-0.5,23.23,21,14
11/21/2023,16:06:34;568,-518,-0.3,-0.4,23.55,23,10
11/21/2023,16:06:35;567,-519,-0.3,-0.35,24,21,14
11/21/2023,16:06:36;566,-521,-0.6,-0.48,24.83,23,10
11/21/2023,16:06:37;566,-522,-0.3,-0.39,24.45,21,14
11/21/2023,16:06:38;569,-523,-0.3,-0.34,24.32,22,12
11/21/2023,16:06:39;569,-525,-0.6,-0.47,23.36,23,10
11/21/2023,16:06:40;568,-527,-0.6,-0.54,22.85,21,14
11/21/2023,16:06:41;567,-528,-0.3,-0.42,23.17,22,12
11/21/2023,16:06:42;571,-530,-0.6,-0.51,23.68,21,14
11/21/2023,16:06:43;570,-531,-0.3,-0.4,24.77,20,16
11/21/2023,16:06:44;570,-533,-0.6,-0.5,24.9,22,12
11/21/2023,16:06:45;570,-535,-0.6,-0.55,25.15,23,10
11/21/2023,16:06:46;573,-536,-0.3,-0.43,24.38,20,16
11/21/2023,16:06:47;572,-538,-0.6,-0.51,23.74,22,12
11/21/2023,16:06:48;570,-539,-0.3,-0.41,23.55,19,18
11/21/2023,16:06:49;571,-541,-0.6,-0.5,23.36,21,14
11/21/2023,16:06:50;574,-542,-0.3,-0.4,23.55,24,8
11/21/2023,16:06:51;573,-544,-0.6,-0.5,24,20,16
11/21/2023,16:06:52;572,-546,-0.6,-0.55,24.58,21,14
11/21/2023,16:06:53;576,-547,-0.3,-0.43,25.22,22,12
11/21/2023,16:06:54;575,-549,-0.6,-0.51,25.47,18,20
11/21/2023,16:06:55;575,-550,-0.3,-0.41,24.96,20,16
11/21/2023,16:06:56;575,-552,-0.6,-0.5,24.38,19,18
11/21/2023,16:06:57;577,-553,-0.3,-0.4,23.74,22,12
11/21/2023,16:06:58;576,-555,-0.6,-0.5,23.49,19,18
11/21/2023,16:06:59;576,-557,-0.6,-0.55,23.68,23,10
11/21/2023,16:07:00;576,-558,-0.3,-0.43,24.13,19,18
11/21/2023,16:07:01;579,-560,-0.6,-0.51,24.83,25,6
11/21/2023,16:07:02;579,-561,-0.3,-0.41,25.28,21,14
11/21/2023,16:07:03;578,-563,-0.6,-0.5,25.92,20,16
11/21/2023,16:07:04;577,-564,-0.3,-0.4,25.09,22,12
11/21/2023,16:07:05;581,-566,-0.6,-0.5,24.58,23,10
11/21/2023,16:07:06;580,-568,-0.6,-0.55,24,20,16
11/21/2023,16:07:07;579,-569,-0.3,-0.43,22.98,19,18
11/21/2023,16:07:08;579,-571,-0.6,-0.51,24.06,20,16
11/21/2023,16:07:09;582,-572,-0.3,-0.41,24.13,23,10
11/21/2023,16:07:10;581,-574,-0.6,-0.5,25.02,21,14
11/21/2023,16:07:11;581,-576,-0.6,-0.55,25.66,23,10
11/21/2023,16:07:12;581,-577,-0.3,-0.43,25.73,20,16
11/21/2023,16:07:13;584,-579,-0.6,-0.51,25.34,17,22
11/21/2023,16:07:14;583,-580,-0.3,-0.41,24.26,19,18
11/21/2023,16:07:15;583,-582,-0.6,-0.5,24.45,21,14
11/21/2023,16:07:16;581,-583,-0.3,-0.4,23.3,24,8
11/21/2023,16:07:17;586,-585,-0.6,-0.5,24.32,21,14
11/21/2023,16:07:18;585,-587,-0.6,-0.55,24.19,20,16
11/21/2023,16:07:19;584,-588,-0.3,-0.43,25.34,22,12
11/21/2023,16:07:20;583,-590,-0.6,-0.51,25.66,22,12
11/21/2023,16:07:21;587,-591,-0.3,-0.41,26.56,23,10
11/21/2023,16:07:22;585,-593,-0.6,-0.5,25.54,22,12
11/21/2023,16:07:23;585,-594,-0.3,-0.4,25.09,19,18
11/21/2023,16:07:24;585,-596,-0.6,-0.5,24.51,22,12
11/21/2023,16:07:25;588,-598,-0.6,-0.55,24.32,18,20
11/21/2023,16:07:26;587,-599,-0.3,-0.43,24.51,19,18
11/21/2023,16:07:27;587,-601,-0.6,-0.51,24.96,22,12
11/21/2023,16:07:28;586,-602,-0.3,-0.41,25.54,23,10
11/21/2023,16:07:29;590,-604,-0.6,-0.5,26.18,21,14
11/21/2023,16:07:30;589,-606,-0.6,-0.55,26.62,23,10
11/21/2023,16:07:31;588,-607,-0.3,-0.43,25.66,21,14
11/21/2023,16:07:32;591,-609,-0.6,-0.51,24.96,20,16
11/21/2023,16:07:33;592,-611,-0.6,-0.56,24.45,20,16
11/21/2023,16:07:34;591,-612,-0.3,-0.43,23.94,23,10
11/21/2023,16:07:35;590,-614,-0.6,-0.51,24.06,23,10
11/21/2023,16:07:36;593,-615,-0.3,-0.41,22.4,20,16
11/21/2023,16:07:37;592,-617,-0.6,-0.5,21.44,23,10
11/21/2023,16:07:38;592,-619,-0.6,-0.55,21.82,20,16
11/21/2023,16:07:39;591,-620,-0.3,-0.43,23.94,21,14
