Controller Name:,New_Controller2095709328,,,,,,,,,,,,,,,
Trend Name:,testtrend,,,,,,,,,,,,,,,
Trend Tags:,5,,,,,,,,,,,,,,,
Sample Period:,10 ms,,,,,,,,,,,,,,,
Description:,,,,,,,,,,,,,,,,
Start Trigger:,No Trigger,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Stop Trigger:,No Trigger,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Start Time:,11/21/2023,11:45:46;433,,,,,,,,,,,,,,
Stop Time:,11/21/2023,11:48:06;933,,,,,,,,,,,,,,
Pre-Samples:,0,,,,,,,,,,,,,,,
Post-Samples:,0,,,,,,,,,,,,,,,
Header:,Date,Time,sinusoidal_wave,time,Measured_rpm_Filtered,Temperature,Diameter,,,,,,,,,
Data,11/21/2023,11:45:47;733,151.212463,20500,124.95417,84.80661,0.226674,,,,,,,,,
Data,11/21/2023,11:45:47;743,151.631226,20510,125.209648,84.80661,0.226674,,,,,,,,,
Data,11/21/2023,11:45:47;753,152.049057,20519,125.468864,84.80661,0.226674,,,,,,,,,
Data,11/21/2023,11:45:47;763,152.424362,20529,125.723846,84.80661,0.226674,,,,,,,,,
Data,11/21/2023,11:45:47;773,152.840607,20540,125.967133,84.80661,0.226674,,,,,,,,,
Data,11/21/2023,11:45:47;783,153.297424,20550,126.213936,84.80661,0.226674,,,,,,,,,
Data,11/21/2023,11:45:47;793,153.711624,20560,126.449425,84.80661,0.226674,,,,,,,,,
Data,11/21/2023,11:45:47;803,154.125015,20569,126.69088,84.80661,0.226674,,,,,,,,,
Data,11/21/2023,11:45:47;813,154.496246,20579,126.928238,84.80661,0.226674,,,,,,,,,
Data,11/21/2023,11:45:47;823,154.907806,20589,127.16906,84.818298,0.222721,,,,,,,,,
Data,11/21/2023,11:45:47;833,155.318329,20600,127.398827,84.818298,0.222721,,,,,,,,,
Data,11/21/2023,11:45:47;843,155.768753,20609,127.63195,84.818298,0.222721,,,,,,,,,
Data,11/21/2023,11:45:47;853,156.136353,20620,127.861267,84.818298,0.222721,,,,,,,,,
Data,11/21/2023,11:45:47;863,156.584579,20629,128.086761,84.818298,0.222721,,,,,,,,,
Data,11/21/2023,11:45:47;873,156.950302,20639,128.30838,84.818298,0.222721,,,,,,,,,
Data,11/21/2023,11:45:47;883,157.355728,20650,128.524048,84.818298,0.222721,,,,,,,,,
Data,11/21/2023,11:45:47;893,157.800385,20659,128.756989,84.818298,0.222721,,,,,,,,,
Data,11/21/2023,11:45:47;903,158.163254,20670,128.979233,84.818298,0.222721,,,,,,,,,
Data,11/21/2023,11:45:47;913,158.605484,20679,129.204712,84.818298,0.222721,,,,,,,,,
Data,11/21/2023,11:45:47;923,158.966324,20689,129.419846,84.837524,0.218526,,,,,,,,,
Data,11/21/2023,11:45:47;933,159.366074,20700,129.638138,84.837524,0.218526,,,,,,,,,
Data,11/21/2023,11:45:47;943,159.804581,20709,129.84639,84.837524,0.218526,,,,,,,,,
Data,11/21/2023,11:45:47;953,160.162231,20719,130.051361,84.837524,0.218526,,,,,,,,,
Data,11/21/2023,11:45:47;963,160.558578,20729,130.27562,84.837524,0.218526,,,,,,,,,
Data,11/21/2023,11:45:47;973,160.953644,20739,130.534821,84.837524,0.218526,,,,,,,,,
Data,11/21/2023,11:45:47;983,161.347549,20751,130.797791,84.837524,0.218526,,,,,,,,,
Data,11/21/2023,11:45:47;993,161.818497,20759,131.048691,84.837524,0.218526,,,,,,,,,
Data,11/21/2023,11:45:48;003,162.131577,20769,131.303299,84.837524,0.218526,,,,,,,,,
Data,11/21/2023,11:45:48;013,162.521606,20780,131.546219,84.837524,0.218526,,,,,,,,,
Data,11/21/2023,11:45:48;023,162.949295,20789,131.792633,84.846863,0.210781,,,,,,,,,
Data,11/21/2023,11:45:48;033,163.297989,20801,132.027756,84.846863,0.210781,,,,,,,,,
Data,11/21/2023,11:45:48;043,163.761337,20809,132.242249,84.846863,0.210781,,,,,,,,,
Data,11/21/2023,11:45:48;053,164.069092,20819,132.380112,84.846863,0.210781,,,,,,,,,
Data,11/21/2023,11:45:48;063,164.452667,20829,132.519989,84.846863,0.210781,,,,,,,,,
Data,11/21/2023,11:45:48;073,164.834824,20840,132.653412,84.846863,0.210781,,,,,,,,,
Data,11/21/2023,11:45:48;083,165.253632,20851,132.788818,84.846863,0.210781,,,,,,,,,
Data,11/21/2023,11:45:48;093,165.670792,20859,132.917999,84.846863,0.210781,,,,,,,,,
Data,11/21/2023,11:45:48;103,165.973053,20869,133.049057,84.846863,0.210781,,,,,,,,,
Data,11/21/2023,11:45:48;113,166.349609,20880,133.174103,84.846863,0.210781,,,,,,,,,
Data,11/21/2023,11:45:48;123,166.762192,20889,133.310287,84.846588,0.204114,,,,,,,,,
Data,11/21/2023,11:45:48;133,167.09848,20900,133.46608,84.846588,0.204114,,,,,,,,,
Data,11/21/2023,11:45:48;143,167.507904,20909,133.62413,84.846588,0.204114,,,,,,,,,
Data,11/21/2023,11:45:48;153,167.841553,20919,133.774933,84.846588,0.204114,,,,,,,,,
Data,11/21/2023,11:45:48;163,168.2108,20929,133.927933,84.846588,0.204114,,,,,,,,,
