Controller Name:,New_Controller1158935656,,,,,,,,,,,,,
Trend Name:,diameter,,,,,,,,,,,,,
Trend Tags:,2,,,,,,,,,,,,,
Sample Period:,10 ms,,,,,,,,,,,,,
Description:,,,,,,,,,,,,,,
Start Trigger:,No Trigger,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Stop Trigger:,No Trigger,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Start Time:,8/18/2023,15:34:14;554,,,,,,,,,,,,
Stop Time:,8/18/2023,15:36:24;334,,,,,,,,,,,,
Pre-Samples:,0,,,,,,,,,,,,,
Post-Samples:,0,,,,,,,,,,,,,
Header:,Date,Time,Diameter,Measured_rpm,,,diameter,rpm,,distance,t,v1,,
Data,8/18/2023,15:34:16;674,0.599438,46.986938,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;684,0.599438,46.986938,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;694,0.59489,46.986938,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;704,0.59489,46.986938,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;714,0.59489,46.986938,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;724,0.59489,46.986938,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;734,0.59489,42.865795,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;744,0.59489,42.865795,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;754,0.59489,42.865795,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;764,0.59489,42.865795,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;774,0.59489,42.865795,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;784,0.59489,42.865795,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;794,0.590927,42.865795,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;804,0.590927,42.865795,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;814,0.590927,37.220844,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;824,0.590927,37.220844,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;834,0.590927,37.220844,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;844,0.590927,37.220844,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;854,0.590927,37.220844,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;864,0.590927,37.220844,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;874,0.590927,37.220844,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;884,0.590927,37.220844,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;894,0.584715,33.848064,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;904,0.584715,33.848064,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;914,0.584715,33.848064,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;924,0.584715,33.848064,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;934,0.584715,33.848064,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;944,0.584715,33.848064,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;954,0.584715,33.848064,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;964,0.584715,33.848064,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;974,0.584715,29.08857,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;984,0.584715,29.08857,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:16;994,0.573115,29.08857,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:17;004,0.573115,29.08857,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:17;014,0.573115,29.08857,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:17;024,0.573115,29.08857,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:17;034,0.573115,29.08857,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:17;044,0.573115,29.08857,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:17;054,0.573115,21.805063,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:17;064,0.573115,21.805063,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:17;074,0.573115,21.805063,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:17;084,0.573115,21.805063,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:17;094,0.564694,21.805063,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:17;104,0.564694,21.805063,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:17;114,0.564694,21.805063,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:17;124,0.564694,21.805063,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:17;134,0.564694,34.463211,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:17;144,0.564694,34.463211,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:17;154,0.564694,34.463211,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:17;164,0.564694,34.463211,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:17;174,0.564694,34.463211,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:17;184,0.564694,34.463211,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:17;194,0.557704,34.463211,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:17;204,0.557704,34.463211,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:17;214,0.557704,41.079994,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:17;224,0.557704,41.079994,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:17;234,0.557704,41.079994,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:17;244,0.557704,41.079994,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:17;254,0.557704,41.079994,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:17;264,0.557704,41.079994,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:17;274,0.557704,41.079994,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:17;284,0.557704,41.079994,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:17;294,0.548995,34.825703,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:17;304,0.548995,34.825703,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:17;314,0.548995,34.825703,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:17;324,0.548995,34.825703,,0.269,0.5904,,,,,,,
