Controller Name:,New_Controller1158935656,,,,,,,,,,,,,,
Trend Name:,diameter,,,,,,,,,,,,,,
Trend Tags:,2,,,,,,,,,,,,,,
Sample Period:,10 ms,,,,,,,,,,,,,,
Description:,,,,,,,,,,,,,,,
Start Trigger:,No Trigger,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Stop Trigger:,No Trigger,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Start Time:,8/18/2023,15:47:00;651,,,,,,,,,,,,,
Stop Time:,8/18/2023,15:48:06;831,,,,,,,,,,,,,
Pre-Samples:,0,,,,,,,,,,,,,,6618
Post-Samples:,0,,,,,,,,,,,,,,
Header:,Date,Time,Diameter,Measured_rpm,,,diameter,rpm,,,,,,,
Data,8/18/2023,15:47:02;931,0.29199,198.568726,,,,,,,,,,,
Data,8/18/2023,15:47:02;941,0.29199,198.568726,,,,,,,,,,,
Data,8/18/2023,15:47:02;951,0.29199,198.568726,,,,,,,,,,,
Data,8/18/2023,15:47:02;961,0.29199,198.812607,,,,,,,,,,,
Data,8/18/2023,15:47:02;971,0.29199,198.812607,,,,,,,,,,,
Data,8/18/2023,15:47:02;981,0.285261,198.812607,,,,,,,,,,,
Data,8/18/2023,15:47:02;991,0.285261,198.812607,,,,,,,,,,,
Data,8/18/2023,15:47:03;001,0.285261,198.812607,,,,,,,,,,,
Data,8/18/2023,15:47:03;011,0.285261,198.812607,,,,,,,,,,,
Data,8/18/2023,15:47:03;021,0.285261,198.812607,,,,,,,,,,,
Data,8/18/2023,15:47:03;031,0.285261,198.812607,,,,,,,,,,,
Data,8/18/2023,15:47:03;041,0.285261,195.164856,,,,,,,,,,,
Data,8/18/2023,15:47:03;051,0.285261,195.164856,,,,,,,,,,,
Data,8/18/2023,15:47:03;061,0.285261,195.164856,,,,,,,,,,,
Data,8/18/2023,15:47:03;071,0.285261,195.164856,,,,,,,,,,,
Data,8/18/2023,15:47:03;081,0.285277,195.164856,,,,,,,,,,,
Data,8/18/2023,15:47:03;091,0.285277,195.164856,,,,,,,,,,,
Data,8/18/2023,15:47:03;101,0.285277,195.164856,,,,,,,,,,,
Data,8/18/2023,15:47:03;111,0.285277,195.164856,,,,,,,,,,,
Data,8/18/2023,15:47:03;121,0.285277,193.995422,,,,,,,,,,,
Data,8/18/2023,15:47:03;131,0.285277,193.995422,,,,,,,,,,,
Data,8/18/2023,15:47:03;141,0.285277,193.995422,,,,,,,,,,,
Data,8/18/2023,15:47:03;151,0.285277,193.995422,,,,,,,,,,,
Data,8/18/2023,15:47:03;161,0.285277,193.995422,,,,,,,,,,,
Data,8/18/2023,15:47:03;171,0.285277,193.995422,,,,,,,,,,,
Data,8/18/2023,15:47:03;181,0.281318,193.995422,,,,,,,,,,,
Data,8/18/2023,15:47:03;191,0.281318,193.995422,,,,,,,,,,,
Data,8/18/2023,15:47:03;201,0.281318,193.809601,,,,,,,,,,,
Data,8/18/2023,15:47:03;211,0.281318,193.809601,,,,,,,,,,,
Data,8/18/2023,15:47:03;221,0.281318,193.809601,,,,,,,,,,,
Data,8/18/2023,15:47:03;231,0.281318,193.809601,,,,,,,,,,,
Data,8/18/2023,15:47:03;241,0.281318,193.809601,,,,,,,,,,,
Data,8/18/2023,15:47:03;251,0.281318,193.809601,,,,,,,,,,,
Data,8/18/2023,15:47:03;261,0.281318,193.809601,,,,,,,,,,,
Data,8/18/2023,15:47:03;271,0.281318,193.809601,,,,,,,,,,,
Data,8/18/2023,15:47:03;281,0.277692,194.652817,,,,,,,,,,,
Data,8/18/2023,15:47:03;291,0.277692,194.652817,,,,,,,,,,,
Data,8/18/2023,15:47:03;301,0.277692,194.652817,,,,,,,,,,,
Data,8/18/2023,15:47:03;311,0.277692,194.652817,,,,,,,,,,,
Data,8/18/2023,15:47:03;321,0.277692,194.652817,,,,,,,,,,,
Data,8/18/2023,15:47:03;331,0.277692,194.652817,,,,,,,,,,,
Data,8/18/2023,15:47:03;341,0.277692,194.652817,,,,,,,,,,,
Data,8/18/2023,15:47:03;351,0.277692,194.652817,,,,,,,,,,,
Data,8/18/2023,15:47:03;361,0.277692,196.530533,,,,,,,,,,,
Data,8/18/2023,15:47:03;371,0.277692,196.530533,,,,,,,,,,,
Data,8/18/2023,15:47:03;381,0.273329,196.530533,,,,,,,,,,,
Data,8/18/2023,15:47:03;391,0.273329,196.530533,,,,,,,,,,,
Data,8/18/2023,15:47:03;401,0.273329,196.530533,,,,,,,,,,,
Data,8/18/2023,15:47:03;411,0.273329,196.530533,,,,,,,,,,,
Data,8/18/2023,15:47:03;421,0.273329,196.530533,,,,,,,,,,,
Data,8/18/2023,15:47:03;431,0.273329,196.530533,,,,,,,,,,,
Data,8/18/2023,15:47:03;441,0.273329,198.790405,,,,,,,,,,,
Data,8/18/2023,15:47:03;451,0.273329,198.790405,,,,,,,,,,,
Data,8/18/2023,15:47:03;461,0.273329,198.790405,,,,,,,,,,,
Data,8/18/2023,15:47:03;471,0.273329,198.790405,,,,,,,,,,,
Data,8/18/2023,15:47:03;481,0.279099,198.790405,,,,,,,,,,,
Data,8/18/2023,15:47:03;491,0.279099,198.790405,,,,,,,,,,,
Data,8/18/2023,15:47:03;501,0.279099,198.790405,,,,,,,,,,,
